PHARMACOLOGICAL_CLASS,DRUG_NAME,GENERIC_NAME,COMBINED_NAME,BENEFICIARY_COUNT,PRESCRIBER_COUNT,TOTAL_CLAIM_COUNT, TOTAL_DRUG_COST 
"ANTI-INFECTIVE/ANTI-INFLAMMATORY COMBINATIONS,TOPICAL OPHTHALMIC",PRED-G,GENTAMICIN/PREDNISOL AC,PRED-G : GENTAMICIN/PREDNISOL AC,1586,980,2103,103751
"ANTI-INFLAMMATORY,TOPICAL",PREDNICARBATE,PREDNICARBATE,PREDNICARBATE : PREDNICARBATE,2682,1768,4259,198547
GLUCOCORTICOIDS,PREDNISOLONE,PREDNISOLONE,PREDNISOLONE : PREDNISOLONE,33067,7615,45803,786585
"ANTI-INFLAMMATORIES,TOPICAL OPHTHALMIC",PREDNISOLONE ACETATE,PREDNISOLONE ACETATE,PREDNISOLONE ACETATE : PREDNISOLONE ACETATE,1399861,78947,2388999,58184831
GLUCOCORTICOIDS,PREDNISOLONE SODIUM PHOSPHATE,PREDNISOLONE SOD PHOSPHATE,PREDNISOLONE SODIUM PHOSPHATE : PREDNISOLONE SOD PHOSPHATE,15179,9784,21936,827774
GLUCOCORTICOIDS,PREDNISONE,PREDNISONE,PREDNISONE : PREDNISONE,4149826,518509,10301113,56773822
GLUCOCORTICOIDS,PREDNISONE INTENSOL,PREDNISONE,PREDNISONE INTENSOL : PREDNISONE,260,271,454,40057
"VITAMIN COMBINATIONS,OTHER",PREFERA OB,"PRENATAL VITAMINS#21, IRON, FA","PREFERA OB : PRENATAL VITAMINS#21, IRON, FA",17,17,51,5697
"VITAMIN COMBINATIONS,OTHER",PREFERA-OB ONE,PNV COMBO #19/IRON/FOL AC/DHA,PREFERA-OB ONE : PNV COMBO #19/IRON/FOL AC/DHA,40,43,125,12936
"VITAMIN COMBINATIONS,OTHER",PREFERA-OB PLUS DHA,PNV COMBO #22/IRON/FA/OM3/DHA,PREFERA-OB PLUS DHA : PNV COMBO #22/IRON/FA/OM3/DHA,42,41,106,7447
"HORMONES/SYNTHETICS/MODIFIERS,OTHER",PREFEST,ESTRADIOL/NORGESTIMATE,PREFEST : ESTRADIOL/NORGESTIMATE,601,644,2767,408486
GONADOTROPINS,PREGNYL,"CHORIONIC GONADOTROPIN, HUMAN","PREGNYL : CHORIONIC GONADOTROPIN, HUMAN",17,19,51,6883
CONTRACEPTIVES/WOMANS HEALTH ,PREMARIN,"ESTROGENS, CONJUGATED","PREMARIN : ESTROGENS, CONJUGATED",607289,184163,2115601,312217785
"HORMONES/SYNTHETICS/MODIFIERS,OTHER",PREMPHASE,"ESTROGEN,CON/M-PROGEST ACET","PREMPHASE : ESTROGEN,CON/M-PROGEST ACET",845,934,4679,590842
"HORMONES/SYNTHETICS/MODIFIERS,OTHER",PREMPRO,"ESTROGEN,CON/M-PROGEST ACET","PREMPRO : ESTROGEN,CON/M-PROGEST ACET",62205,48270,324814,44693075
"VITAMIN COMBINATIONS,OTHER",PRENA1,PRENATAL NO.25/IRON/FA #6/DHA,PRENA1 : PRENATAL NO.25/IRON/FA #6/DHA,14,15,20,2556
"VITAMIN COMBINATIONS,OTHER",PRENA1 CHEW,PRENATAL VIT#42/FA CMB#6,PRENA1 CHEW : PRENATAL VIT#42/FA CMB#6,19,20,47,4568
"VITAMIN COMBINATIONS,OTHER",PRENA1 PLUS,PRENATAL NO.39/IRON/FA #6/DHA,PRENA1 PLUS : PRENATAL NO.39/IRON/FA #6/DHA,21,24,45,3839
"VITAMIN COMBINATIONS,OTHER",PRENAISSANCE,PNV80/IRON FUMARATE/FA/DSS/DHA,PRENAISSANCE : PNV80/IRON FUMARATE/FA/DSS/DHA,38,39,60,5785
"VITAMIN COMBINATIONS,OTHER",PRENAISSANCE PLUS,"PNV69/IRON,CARBONYL/FA/DSS/DHA","PRENAISSANCE PLUS : PNV69/IRON,CARBONYL/FA/DSS/DHA",27,28,78,4878
"VITAMIN COMBINATIONS,OTHER",PRENATA,PRENATAL VIT37/IRON/FOLIC ACID,PRENATA : PRENATAL VIT37/IRON/FOLIC ACID,26,26,63,1020
"VITAMIN COMBINATIONS,OTHER",PRENATABS FA,PRENATAL VIT NO.78/IRON/FA,PRENATABS FA : PRENATAL VIT NO.78/IRON/FA,1116,1068,3271,24608
"VITAMIN COMBINATIONS,OTHER",PRENATAL 19,PNV115/IRON FUMARATE/FA/DSS,PRENATAL 19 : PNV115/IRON FUMARATE/FA/DSS,NaN,NaN,18,176
"VITAMIN COMBINATIONS,OTHER",PRENATAL PLUS,"PNV WITH CA,NO.72/IRON,CARB/FA","PRENATAL PLUS : PNV WITH CA,NO.72/IRON,CARB/FA",2028,1614,8170,60748
"VITAMIN COMBINATIONS,OTHER",PRENATAL PLUS,"PNV WITH CA,NO.72/IRON/FA","PRENATAL PLUS : PNV WITH CA,NO.72/IRON/FA",30122,22335,127538,974306
"VITAMIN COMBINATIONS,OTHER",PRENATE CHEWABLE,PRENATAL VIT NO.112/FOLIC ACID,PRENATE CHEWABLE : PRENATAL VIT NO.112/FOLIC ACID,11,11,17,2516
"VITAMIN COMBINATIONS,OTHER",PRENATE DHA,PNV #38/IRON FUM/FOLATE/DHA,PRENATE DHA : PNV #38/IRON FUM/FOLATE/DHA,105,109,265,34526
"VITAMIN COMBINATIONS,OTHER",PRENATE ELITE,PRENATAL VIT#36/IRON/FA CMB#6,PRENATE ELITE : PRENATAL VIT#36/IRON/FA CMB#6,92,96,229,36477
"VITAMIN COMBINATIONS,OTHER",PRENATE ESSENTIAL,PNV #35/IRON/FA #6/DHA,PRENATE ESSENTIAL : PNV #35/IRON/FA #6/DHA,41,42,95,12688
"VITAMIN COMBINATIONS,OTHER",PRENATE MINI,PRENATAL VIT NO.44/IRON/FA/DHA,PRENATE MINI : PRENATAL VIT NO.44/IRON/FA/DHA,82,82,173,22112
"VITAMIN COMBINATIONS,OTHER",PRENEXA,PNV66/IRON FUMARATE/FA/DSS/DHA,PRENEXA : PNV66/IRON FUMARATE/FA/DSS/DHA,21,24,71,7537
HYPEROSMOTIC LAXATIVES,PREPOPIK,SOD PICOSULF/MAG OX/CITRIC AC,PREPOPIK : SOD PICOSULF/MAG OX/CITRIC AC,15770,3333,15965,1245012
"VITAMIN COMBINATIONS,OTHER",PREQUE 10,"PNV 18/FE,CARB/FA/DSS/UBI/DHA","PREQUE 10 : PNV 18/FE,CARB/FA/DSS/UBI/DHA",33,34,65,3602
GASTRIC MEDICATIONS/PPI,OMEPRAZOLE-SODIUM BICARBONATE,OMEPRAZOLE/SODIUM BICARBONATE,OMEPRAZOLE-SODIUM BICARBONATE : OMEPRAZOLE/SODIUM BICARBONATE,12595,9834,46936,19333099
ANTILIPEMIC AGENTS,PREVALITE,CHOLESTYRAMINE/ASPARTAME,PREVALITE : CHOLESTYRAMINE/ASPARTAME,31792,24353,82630," $6,937,492.00 "
FLUORIDE,PREVIDENT,SODIUM FLUORIDE,PREVIDENT : SODIUM FLUORIDE,30639,17857,47774,650885
FLUORIDE,PREVIDENT 5000,SODIUM FLUORIDE,PREVIDENT 5000 : SODIUM FLUORIDE,12509,8215,19697,259730
FLUORIDE,PREVIDENT 5000 ENAMEL PROTECT,SODIUM FLUORIDE/POT NITRATE,PREVIDENT 5000 ENAMEL PROTECT : SODIUM FLUORIDE/POT NITRATE,2539,1937,3930,51214
FLUORIDE,PREVIDENT 5000 PLUS,SODIUM FLUORIDE,PREVIDENT 5000 PLUS : SODIUM FLUORIDE,9488,7617,17659,283151
FLUORIDE,PREVIDENT 5000 SENSITIVE,SODIUM FLUORIDE/POT NITRATE,PREVIDENT 5000 SENSITIVE : SODIUM FLUORIDE/POT NITRATE,11776,8425,19273,257919
CONTRACEPTIVES/WOMANS HEALTH ,PREVIFEM,NORGESTIMATE-ETHINYL ESTRADIOL,PREVIFEM : NORGESTIMATE-ETHINYL ESTRADIOL,1893,2003,8034,179945
VACCINES,PREVNAR 13,PNEUMOC 13-VAL CONJ-DIP CRM/PF,PREVNAR 13 : PNEUMOC 13-VAL CONJ-DIP CRM/PF,39,NaN,39,5541
H. PYLORI AGENTS,PREVPAC,LANSOPRAZOLE/AMOXICILN/CLARITH,PREVPAC : LANSOPRAZOLE/AMOXICILN/CLARITH,16910,11377,17399,9002966
ANTIVIRALS,PREZISTA,DARUNAVIR ETHANOLATE,PREZISTA : DARUNAVIR ETHANOLATE,34535,10490,289830,326796836
NON-OPIOID ANALGESICS,PRIALT,ZICONOTIDE ACETATE,PRIALT : ZICONOTIDE ACETATE,NaN,NaN,15,117434
"ANTIBIOTICS, ANTITUBERCULARS",PRIFTIN,RIFAPENTINE,PRIFTIN : RIFAPENTINE,336,242,655,85952
GASTRIC MEDICATIONS/PPI,ZEGERID,OMEPRAZOLE/SODIUM BICARBONATE,ZEGERID : OMEPRAZOLE/SODIUM BICARBONATE,3086,3045,14243,6562411
"GASTRIC MEDICATIONS,OTHER",XENICAL,ORLISTAT,XENICAL : ORLISTAT,912,923,2509,1318904
"ANTIBIOTICS, ANTIMALARIALS",PRIMAQUINE,PRIMAQUINE PHOSPHATE,PRIMAQUINE : PRIMAQUINE PHOSPHATE,194,192,251,11099
"ANTIBIOTICS, MACROLIDES",ERYTHROCIN STEARATE,ERYTHROMYCIN STEARATE,ERYTHROCIN STEARATE : ERYTHROMYCIN STEARATE,11751,9961,20667,2333573
ANTICONVULSANTS,PRIMIDONE,PRIMIDONE,PRIMIDONE : PRIMIDONE,170193,83241,1000428,29309648
OPIOID ANALGESICS,PRIMLEV,OXYCODONE HCL/ACETAMINOPHEN,PRIMLEV : OXYCODONE HCL/ACETAMINOPHEN,78,75,152,86694
"ANTIBIOTICS, OTHER",PRIMSOL,TRIMETHOPRIM,PRIMSOL : TRIMETHOPRIM,61,54,189,28297
ACE INHIBITORS,PRINIVIL,LISINOPRIL,PRINIVIL : LISINOPRIL,2043,2170,9749,828287
"ANTIDEPRESSANTS,OTHER",MIRTAZAPINE,MIRTAZAPINE,MIRTAZAPINE : MIRTAZAPINE,92974,58000,594927,124493410
IMMUNOGLOBULINS,PRIVIGEN,"IMMUNE GLOBULIN,GAMMA(IGG)","PRIVIGEN : IMMUNE GLOBULIN,GAMMA(IGG)",464,362,3784,29618007
"BRONCHODILATORS,SYMPATHOMIMETIC,INHALATION",PROAIR HFA,ALBUTEROL SULFATE,PROAIR HFA : ALBUTEROL SULFATE,2787388,383967,7586443,421451940
ANTIGOUT AGENTS,PROBENECID,PROBENECID,PROBENECID : PROBENECID,25631,21999,119112,5168755
ANTIGOUT AGENTS,PROBENECID-COLCHICINE,COLCHICINE/PROBENECID,PROBENECID-COLCHICINE : COLCHICINE/PROBENECID,17041,12363,64471,3224539
"AMINO ACIDS/PROTEINS,PARENTERAL",PROCALAMINE,AA 3%/ELECTROLYTE-TPN SOLN/GLY,PROCALAMINE : AA 3%/ELECTROLYTE-TPN SOLN/GLY,13,11,36,4464
CALCIUM CHANNEL BLOCKERS,PROCARDIA,NIFEDIPINE,PROCARDIA : NIFEDIPINE,43,48,207,41110
CALCIUM CHANNEL BLOCKERS,PROCARDIA XL,NIFEDIPINE,PROCARDIA XL : NIFEDIPINE,1663,1897,8690,2003469
AMPHETAMINES,PROCENTRA,DEXTROAMPHETAMINE SULFATE,PROCENTRA : DEXTROAMPHETAMINE SULFATE,NaN,NaN,14,5703
ANTIEMETICS,PROCHLORPERAZINE EDISYLATE,PROCHLORPERAZINE EDISYLATE,PROCHLORPERAZINE EDISYLATE : PROCHLORPERAZINE EDISYLATE,1088,791,1523,59619
ANTIEMETICS,PROCHLORPERAZINE MALEATE,PROCHLORPERAZINE MALEATE,PROCHLORPERAZINE MALEATE : PROCHLORPERAZINE MALEATE,355785,115498,640448,7211921
BLOOD FORMATION PRODUCTS,PROCRIT,EPOETIN ALFA,PROCRIT : EPOETIN ALFA,38627,19318,176093,195253884
"ANTI-INFLAMMATORY,TOPICAL",PROCTO-PAK,HYDROCORTISONE,PROCTO-PAK : HYDROCORTISONE,2532,2323,4282,166342
"ANTI-INFLAMMATORY,TOPICAL",PROCTOCORT,HYDROCORTISONE,PROCTOCORT : HYDROCORTISONE,538,528,786,87351
"ANTI-INFLAMMATORY,TOPICAL",PROCTOCREAM-HC,HYDROCORTISONE,PROCTOCREAM-HC : HYDROCORTISONE,820,750,1435,23185
HEMORRHOIDAL PREPARATIONS WITH STEROID,PROCTOFOAM-HC,HYDROCORTISONE/PRAMOXINE,PROCTOFOAM-HC : HYDROCORTISONE/PRAMOXINE,10279,9021,15817,1527743
PHARMACEUTICAL AIDS/REAGENTS,PROCTOSOL-HC,HYDROCORTISONE,PROCTOSOL-HC : HYDROCORTISONE,114944,70774,200220,2429651
"ANTI-INFLAMMATORY,TOPICAL",PROCTOZONE-HC,HYDROCORTISONE,PROCTOZONE-HC : HYDROCORTISONE,189118,92394,394036,4905653
"GENITO-URINARY AGENTS,OTHER",PROCYSBI,CYSTEAMINE BITARTRATE,PROCYSBI : CYSTEAMINE BITARTRATE,18,18,55,2617818
MEDICAL SUPPLY,PRODIGY INSULIN SYRINGE,"SYRING W-NDL,DISP,INSUL,0.3ML","PRODIGY INSULIN SYRINGE : SYRING W-NDL,DISP,INSUL,0.3ML",99,98,238,3404
MEDICAL SUPPLY,PRODIGY INSULIN SYRINGE,"SYRING W-NDL,DISP,INSUL,0.5ML","PRODIGY INSULIN SYRINGE : SYRING W-NDL,DISP,INSUL,0.5ML",529,462,1564,22750
MEDICAL SUPPLY,PRODIGY INSULIN SYRINGE,"SYRINGE & NEEDLE,INSULIN,1 ML","PRODIGY INSULIN SYRINGE : SYRINGE & NEEDLE,INSULIN,1 ML",377,364,991,14517
MEDICAL SUPPLY,PRODIGY PEN NEEDLE,"NEEDLES, INSULIN DISP., SAFETY","PRODIGY PEN NEEDLE : NEEDLES, INSULIN DISP., SAFETY",119,109,261,3141
MEDICAL SUPPLY,PRODIGY PEN NEEDLE,"NEEDLES, INSULIN DISPOSABLE","PRODIGY PEN NEEDLE : NEEDLES, INSULIN DISPOSABLE",836,730,2003,23645
IRON,PROFERRIN-FORTE,FE HEME POLYPEPTIDE/FOLIC ACID,PROFERRIN-FORTE : FE HEME POLYPEPTIDE/FOLIC ACID,46,35,187,7114
CONTRACEPTIVES/WOMANS HEALTH ,PROGESTERONE,PROGESTERONE,PROGESTERONE : PROGESTERONE,32,33,62,3345
CONTRACEPTIVES/WOMANS HEALTH ,PROGESTERONE,"PROGESTERONE,MICRONIZED","PROGESTERONE : PROGESTERONE,MICRONIZED",42034,22928,166331,15432573
CONTRACEPTIVES/WOMANS HEALTH ,PROGESTERONE IN OIL,PROGESTERONE,PROGESTERONE IN OIL : PROGESTERONE,58,57,109,6914
ANTIHYPOGLYCEMICS,PROGLYCEM,DIAZOXIDE,PROGLYCEM : DIAZOXIDE,262,323,1397,1055233
IMMUNE SUPPRESSANTS,PROGRAF,TACROLIMUS,PROGRAF : TACROLIMUS,4986,2913,33392,17521238
"RESPIRATORY AGENTS,OTHER",PROLASTIN C,ALPHA-1-PROTEINASE INHIBITOR,PROLASTIN C : ALPHA-1-PROTEINASE INHIBITOR,988,891,10528,90650160
"ANTI-INFLAMMATORIES,TOPICAL OPHTHALMIC",PROLENSA,BROMFENAC SODIUM,PROLENSA : BROMFENAC SODIUM,58641,7281,81645,15037950
IMMUNE STIMULANTS,PROLEUKIN,ALDESLEUKIN,PROLEUKIN : ALDESLEUKIN,24,19,71,528736
"IMMUNOLOGICAL AGENTS,OTHER",PROLIA,DENOSUMAB,PROLIA : DENOSUMAB,58693,17823,86162,72536774
ANTIHEMORRHAGICS,PROMACTA,ELTROMBOPAG OLAMINE,PROMACTA : ELTROMBOPAG OLAMINE,1729,1516,9061,43550764
"ANTIHISTAMINES,PHENOTHIAZINE",PROMETHAZINE HCL,PROMETHAZINE HCL,PROMETHAZINE HCL : PROMETHAZINE HCL,848769,241540,2000365,26067980
"ANTIHISTAMINES,PHENOTHIAZINE",PROMETHAZINE VC,PHENYLEPHRINE HCL/PROMETH HCL,PROMETHAZINE VC : PHENYLEPHRINE HCL/PROMETH HCL,25278,7410,35027,543670
OPIOID-CONTAINING ANTITUSSIVES/EXPECTORANTS,PROMETHAZINE VC-CODEINE,PROMETHAZINE/PHENYLEPH/CODEINE,PROMETHAZINE VC-CODEINE : PROMETHAZINE/PHENYLEPH/CODEINE,4976,2936,6712,167860
OPIOID-CONTAINING ANTITUSSIVES/EXPECTORANTS,PROMETHAZINE-CODEINE,PROMETHAZINE HCL/CODEINE,PROMETHAZINE-CODEINE : PROMETHAZINE HCL/CODEINE,49661,23073,73113,589789
ANTIHISTAMINE/ANTITUSSIVE,PROMETHAZINE-DM,D-METHORPHAN HB/PROMETH HCL,PROMETHAZINE-DM : D-METHORPHAN HB/PROMETH HCL,18607,7444,24720,138582
"ANTIHISTAMINES,PHENOTHIAZINE",PROMETHEGAN,PROMETHAZINE HCL,PROMETHEGAN : PROMETHAZINE HCL,45627,34957,64261,5651946
PROGESTINS,PROMETRIUM,"PROGESTERONE,MICRONIZED","PROMETRIUM : PROGESTERONE,MICRONIZED",2641,2330,8287,961302
ANTIARRHYTHMICS,PROPAFENONE HCL,PROPAFENONE HCL,PROPAFENONE HCL : PROPAFENONE HCL,77481,41315,413432,60971933
PARASYMPATHOLYTICS,PROPANTHELINE BROMIDE,PROPANTHELINE BROMIDE,PROPANTHELINE BROMIDE : PROPANTHELINE BROMIDE,1178,1104,4231,244407
"ANESTHETICS,TOPICAL OPHTHALMIC",PROPARACAINE HCL,PROPARACAINE HCL,PROPARACAINE HCL : PROPARACAINE HCL,333,310,499,7530
"HORMONES/SYNTHETICS/MODIFIERS,OTHER",PROPECIA,FINASTERIDE,PROPECIA : FINASTERIDE,26,28,100,11074
BETA BLOCKERS/RELATED,PROPRANOLOL HCL,PROPRANOLOL HCL,PROPRANOLOL HCL : PROPRANOLOL HCL,503477,219250,2778035,69304688
ANTIHYPERTENSIVE COMBINATIONS,PROPRANOLOL-HYDROCHLOROTHIAZID,PROPRANOLOL/HYDROCHLOROTHIAZID,PROPRANOLOL-HYDROCHLOROTHIAZID : PROPRANOLOL/HYDROCHLOROTHIAZID,2980,3162,16920,931524
ANTITHYROID AGENTS,PROPYLTHIOURACIL,PROPYLTHIOURACIL,PROPYLTHIOURACIL : PROPYLTHIOURACIL,14271,13232,82032,3798487
VACCINES,PROQUAD,"MEASLES,MUMPS,RUB,VARICELLA/PF","PROQUAD : MEASLES,MUMPS,RUB,VARICELLA/PF",19,19,20,2231
"HORMONES/SYNTHETICS/MODIFIERS,OTHER",PROSCAR,FINASTERIDE,PROSCAR : FINASTERIDE,1556,1540,6289,1207370
"AMINO ACIDS/PROTEINS,PARENTERAL",PROSOL,PARENTERAL AMINO ACID 20% NO.1,PROSOL : PARENTERAL AMINO ACID 20% NO.1,3708,1554,83686,18218953
PARASYMPATHOMIMETICS (CHOLINERGICS),PROSTIGMIN,NEOSTIGMINE BROMIDE,PROSTIGMIN : NEOSTIGMINE BROMIDE,75,69,272,59595
PROSTAGLANDINS,PROSTIN VR PEDIATRIC,ALPROSTADIL,PROSTIN VR PEDIATRIC : ALPROSTADIL,60,47,107,5759
"VITAMIN COMBINATIONS,OTHER",PROTECT CARDIO,"MV, MIN CMB#8/FA/CO Q10/OMEGA3","PROTECT CARDIO : MV, MIN CMB#8/FA/CO Q10/OMEGA3",NaN,NaN,14,656
GASTRIC MEDICATIONS/PPI,PANTOPRAZOLE SODIUM,PANTOPRAZOLE SODIUM,PANTOPRAZOLE SODIUM : PANTOPRAZOLE SODIUM,2129982,370101,9733357,184662580
GASTRIC MEDICATIONS/PPI,PROTONIX,PANTOPRAZOLE SODIUM,PROTONIX : PANTOPRAZOLE SODIUM,21519,16847,81566,20628712
IMMUNE SUPPRESSANTS,PROTOPIC,TACROLIMUS,PROTOPIC : TACROLIMUS,27754,14547,45981,16798358
ANTIDEPRESSANTS / TCA,PROTRIPTYLINE HCL,PROTRIPTYLINE HCL,PROTRIPTYLINE HCL : PROTRIPTYLINE HCL,2441,2179,12038,1796828
"BRONCHODILATORS,SYMPATHOMIMETIC,INHALATION",PROVENTIL HFA,ALBUTEROL SULFATE,PROVENTIL HFA : ALBUTEROL SULFATE,216072,111085,464001,32217039
PROGESTINS,PROVERA,MEDROXYPROGESTERONE ACETATE,PROVERA : MEDROXYPROGESTERONE ACETATE,450,484,1788,99188
"CNS STIMULANTS,OTHER",PROVIGIL,MODAFINIL,PROVIGIL : MODAFINIL,4542,4712,18683,33159145
"ANTIDEPRESSANTS,OTHER",REMERON,MIRTAZAPINE,REMERON : MIRTAZAPINE,4121,4666,23758,13436947
ANTIDEPRESSANTS/SSRI,PAROXETINE HCL,PAROXETINE HCL,PAROXETINE HCL : PAROXETINE HCL,259,301,1748,394577
"DERMATOLOGICALS,TOPICAL OTHER",PRUDOXIN,DOXEPIN HCL,PRUDOXIN : DOXEPIN HCL,1974,1577,3446,677010
"ANTI-INFLAMMATORIES,INHALATION",PULMICORT,BUDESONIDE,PULMICORT : BUDESONIDE,2082,1869,8749,6811701
"ANTI-INFLAMMATORIES,INHALATION",PULMICORT FLEXHALER,BUDESONIDE,PULMICORT FLEXHALER : BUDESONIDE,40410,29818,114400,23435779
"RESPIRATORY AGENTS,OTHER",PULMOZYME,DORNASE ALFA,PULMOZYME : DORNASE ALFA,241,248,1052,3364936
"VITAMIN COMBINATIONS,OTHER",PUREVIT DUALFE PLUS,IRON FUM&POLYSAC#1/FA/MV NO.18,PUREVIT DUALFE PLUS : IRON FUM&POLYSAC#1/FA/MV NO.18,23,22,68,1284
"ANTINEOPLASTICS,ANTIMETABOLITES",PURINETHOL,MERCAPTOPURINE,PURINETHOL : MERCAPTOPURINE,13,13,24,6685
H. PYLORI AGENTS,PYLERA,BISMUTH/METRONID/TETRACYCLINE,PYLERA : BISMUTH/METRONID/TETRACYCLINE,10202,5440,10489,5775192
"ANTIBIOTICS, ANTITUBERCULARS",PYRAZINAMIDE,PYRAZINAMIDE,PYRAZINAMIDE : PYRAZINAMIDE,1374,1350,2610,245113
PARASYMPATHOMIMETICS (CHOLINERGICS),PYRIDOSTIGMINE BROMIDE,PYRIDOSTIGMINE BROMIDE,PYRIDOSTIGMINE BROMIDE : PYRIDOSTIGMINE BROMIDE,33512,22505,172187,9852637
GLUCOCORTICOIDS,QNASL,BECLOMETHASONE DIPROPIONATE,QNASL : BECLOMETHASONE DIPROPIONATE,9549,6197,19965,2771713
CENTRALLY-ACTING APPETITE SUPPRESSANTS,QSYMIA,PHENTERMINE/TOPIRAMATE,QSYMIA : PHENTERMINE/TOPIRAMATE,425,394,1620,218802
"ANTIBIOTICS, ANTIMALARIALS",QUALAQUIN,QUININE SULFATE,QUALAQUIN : QUININE SULFATE,2057,2026,6218,1602487
CONTRACEPTIVES/WOMANS HEALTH ,QUARTETTE,L-NORGEST-ETH ESTR/ETHIN ESTRA,QUARTETTE : L-NORGEST-ETH ESTR/ETHIN ESTRA,18,18,22,5979
CONTRACEPTIVES/WOMANS HEALTH ,QUASENSE,LEVONORGESTREL-ETH ESTRADIOL,QUASENSE : LEVONORGESTREL-ETH ESTRADIOL,2324,2494,5904,648900
ANTILIPEMIC AGENTS,QUESTRAN,CHOLESTYRAMINE (WITH SUGAR),QUESTRAN : CHOLESTYRAMINE (WITH SUGAR),252,259,668," $173,291.00 "
ANTILIPEMIC AGENTS,QUESTRAN LIGHT,CHOLESTYRAMINE/ASPARTAME,QUESTRAN LIGHT : CHOLESTYRAMINE/ASPARTAME,96,101,269," $84,438.00 "
"ANTIPSYCHOTICS, 2ND GENERATION",QUETIAPINE FUMARATE,QUETIAPINE FUMARATE,QUETIAPINE FUMARATE : QUETIAPINE FUMARATE,864122,227022,6481724,518700040
AMPHETAMINE LIKE STIMULANTS,QUILLIVANT XR,METHYLPHENIDATE HCL,QUILLIVANT XR : METHYLPHENIDATE HCL,48,43,121,42182
ACE INHIBITORS,QUINAPRIL HCL,QUINAPRIL HCL,QUINAPRIL HCL : QUINAPRIL HCL,300541,130195,1654122,36954801
ANTIHYPERTENSIVE COMBINATIONS,QUINAPRIL-HYDROCHLOROTHIAZIDE,QUINAPRIL/HYDROCHLOROTHIAZIDE,QUINAPRIL-HYDROCHLOROTHIAZIDE : QUINAPRIL/HYDROCHLOROTHIAZIDE,30710,25137,160349,9080017
ANTIARRHYTHMICS,QUINIDINE GLUCONATE,QUINIDINE GLUCONATE,QUINIDINE GLUCONATE : QUINIDINE GLUCONATE,2648,2746,13206,4868860
ANTIARRHYTHMICS,QUINIDINE SULFATE,QUINIDINE SULFATE,QUINIDINE SULFATE : QUINIDINE SULFATE,1731,1784,8079,243418
PHARMACEUTICAL AIDS/REAGENTS,QUININE SULFATE,QUININE SULFATE,QUININE SULFATE : QUININE SULFATE,6602,6083,20473,5219996
"ANALGESICS,TOPICAL",QUTENZA,CAPSAICIN/SKIN CLEANSER,QUTENZA : CAPSAICIN/SKIN CLEANSER,24,24,28,37678
"ANTI-INFLAMMATORIES,INHALATION",QVAR,BECLOMETHASONE DIPROPIONATE,QVAR : BECLOMETHASONE DIPROPIONATE,271357,90629,769686,123682715
ANTIHISTAMINE/DECONGESTANT,R-TANNA,PHENYLEPHRINE/CHLOR-TAN,R-TANNA : PHENYLEPHRINE/CHLOR-TAN,13,13,18,959
VACCINES,RABAVERT,RABIES VACCINE (PCEC)/PF,RABAVERT : RABIES VACCINE (PCEC)/PF,105,105,195,73425
GASTRIC MEDICATIONS/PPI,PROTONIX IV,PANTOPRAZOLE SODIUM,PROTONIX IV : PANTOPRAZOLE SODIUM,493,478,2310,124470
ACE INHIBITORS,RAMIPRIL,RAMIPRIL,RAMIPRIL : RAMIPRIL,568364,168835,3081522,72815587
ANTIANGINALS,RANEXA,RANOLAZINE,RANEXA : RANOLAZINE,171430,71772,890564,303536702
"GASTRIC MEDICATIONS, H2 ANTAGONISTS",RANITIDINE HCL,RANITIDINE HCL,RANITIDINE HCL : RANITIDINE HCL,1601085,291108,7563827,93614564
ALPHA BLOCKERS/RELATED,RAPAFLO,SILODOSIN,RAPAFLO : SILODOSIN,98196,28726,408732,78006267
IMMUNE SUPPRESSANTS,RAPAMUNE,SIROLIMUS,RAPAMUNE : SIROLIMUS,4060,2972,24368,21997080
GASTRIC MEDICATIONS/PPI,ACIPHEX,RABEPRAZOLE SODIUM,ACIPHEX : RABEPRAZOLE SODIUM,68258,49364,284540,153570204
GLUCOCORTICOIDS,RAYOS,PREDNISONE,RAYOS : PREDNISONE,422,293,1060,995958
"CNS MEDICATIONS,OTHER",RAZADYNE,GALANTAMINE HBR,RAZADYNE : GALANTAMINE HBR,106,125,496,134669
"CNS MEDICATIONS,OTHER",RAZADYNE ER,GALANTAMINE HBR,RAZADYNE ER : GALANTAMINE HBR,185,200,908,286508
ANTIVIRALS,REBETOL,RIBAVIRIN,REBETOL : RIBAVIRIN,NaN,NaN,16,18055
IMMUNE STIMULANTS,REBIF,INTERFERON BETA-1A/ALBUMIN,REBIF : INTERFERON BETA-1A/ALBUMIN,7894,4813,66819,301914171
IMMUNE STIMULANTS,REBIF REBIDOSE,INTERFERON BETA-1A/ALBUMIN,REBIF REBIDOSE : INTERFERON BETA-1A/ALBUMIN,1228,942,5066,24702970
"HORMONES/SYNTHETICS/MODIFIERS,OTHER",RECLAST,ZOLEDRONIC ACID/MANNITOL&WATER,RECLAST : ZOLEDRONIC ACID/MANNITOL&WATER,2574,1360,2595,2890354
CONTRACEPTIVES/WOMANS HEALTH ,RECLIPSEN,DESOGESTREL-ETHINYL ESTRADIOL,RECLIPSEN : DESOGESTREL-ETHINYL ESTRADIOL,1989,2231,10287,300949
